feature_id,canonical_feature_name,matching_aliases,category,source_family,valence,control,source_note
gew2_01a,Irritation,,sentiment_affect,"Irritation, anger",negative,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_01b,Anger,,sentiment_affect,"Irritation, anger",negative,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_02a,Involvement,,sentiment_affect,"Involvement, interest",positive,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_02b,Interest,,sentiment_affect,"Involvement, interest",positive,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_03a,Amusement,,sentiment_affect,"Amusement, laughter",positive,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_03b,Laughter,,sentiment_affect,"Amusement, laughter",positive,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_04a,Pride,,sentiment_affect,"Pride, elation",positive,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_04b,Elation,,sentiment_affect,"Pride, elation",positive,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_05a,Happiness,,sentiment_affect,"Happiness, joy",positive,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_05b,Joy,,sentiment_affect,"Happiness, joy",positive,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_06a,Enjoyment,,sentiment_affect,"Enjoyment, pleasure",positive,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_06b,Pleasure,,sentiment_affect,"Enjoyment, pleasure",positive,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_07a,Tenderness,,sentiment_affect,"Tenderness, love",positive,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_07b,Love,,sentiment_affect,"Tenderness, love",positive,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_08a,Wonder,,sentiment_affect,"Wonder, awe",positive,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_08b,Awe,,sentiment_affect,"Wonder, awe",positive,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_09a,Disburdened,,sentiment_affect,"Disburdened, relief",positive,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_09b,Relief,,sentiment_affect,"Disburdened, relief",positive,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_10a,Astonishment,,sentiment_affect,"Astonishment, surprise",positive,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_10b,Surprise,,sentiment_affect,"Astonishment, surprise",positive,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_11a,Longing,,sentiment_affect,"Longing, nostalgia",positive,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_11b,Nostalgia,,sentiment_affect,"Longing, nostalgia",positive,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_12a,Pity,,sentiment_affect,"Pity, compassion",negative,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_12b,Compassion,,sentiment_affect,"Pity, compassion",negative,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term; rating study found compassion positive
gew2_13a,Sadness,,sentiment_affect,"Sadness, despair",negative,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_13b,Despair,,sentiment_affect,"Sadness, despair",negative,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_14a,Worry,,sentiment_affect,"Worry, fear",negative,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_14b,Fear,,sentiment_affect,"Worry, fear",negative,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_15a,Embarrassment,,sentiment_affect,"Embarrassment, shame",negative,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_15b,Shame,,sentiment_affect,"Embarrassment, shame",negative,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_16a,Guilt,,sentiment_affect,"Guilt, remorse",negative,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_16b,Remorse,,sentiment_affect,"Guilt, remorse",negative,low,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_17a,Disappointment,,sentiment_affect,"Disappointment, regret",negative,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_17b,Regret,,sentiment_affect,"Disappointment, regret",negative,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_18a,Envy,,sentiment_affect,"Envy, jealousy",negative,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_18b,Jealousy,,sentiment_affect,"Envy, jealousy",negative,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_19a,Disgust,,sentiment_affect,"Disgust, repulsion",negative,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_19b,Repulsion,,sentiment_affect,"Disgust, repulsion",negative,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_20a,Contempt,,sentiment_affect,"Contempt, scorn",negative,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
gew2_20b,Scorn,,sentiment_affect,"Contempt, scorn",negative,high,Geneva Emotion Wheel prototype 2.0 atomic emotion term
